Data Name,Resource Type,Data Type,Source,Period of Record (published or applicable),Spatial Coverage,Spatial Scale or Resolution,Temporal Scale or Resolution,Methodology Used,Units,Stated Accuracy,Availability/ Distribution,Link,Update Frequency,Abstract/Comments/Notes
ISIS,Solar,Time-Series,National Oceanic and Atmospheric Administration/ Earth Systems Research Laboratory,1995-2006,"CA, FL, ND, NM, TN, UT, WA, WI, VA",9 point locations,1-minute,Measurements,W/m2,Varies with measured parameter and site (+/-5% to +/-15%),Public,http://www.srrb.noaa.gov/isis/index.html,Station operations ceased 1/1/07,The NOAA Integrated Surface Irradiance Study (ISIS) network was operated by the Global Monitoring Division (GMD).
SURFRAD,Solar,Time-series,National Oceanic and Atmospheric Administration/ Earth Systems Research Laboratory,1995 - Present,"CO, IL, MS, MT, NV, PA, SD",7 point locations,1-minute,Measurements,W/m2,Varies with measured parameter and site (+/-5% to +/-15%),Public,http://www.srrb.noaa.gov/surfrad/index.html,Ongoing,The NOAA Surface Radiation (SURFRAD) network is operated by the Global Monitoring Division (GMD).
SRML,Solar,Time-Series & GIS,University of Oregon,1977 - Present,"ID, MT, OR, UT, WA, WY",38 point locations,"5 - minute10 - minute15 - minuteHourly",Measurements,W/m2,Varies with measured parameter and site (+/-5% to +/-15%),Public,http://solardat.uoregon.edu/index.html,Ongoing,"The University of Oregon operates the Solar Radiation Monitoring Laboratory (SRML) network with support from Bonneville Power Administration, Energy Trust of Oregon, Eugene Water and Electric Board, National Energy Technology Lab, National Renewable Energy Lab, and Northwest Power and Conservation Council."
West Associates Solar Monitoring Network,Solar,Time Series,National Renewable Energy Laboratory,1976 - 1980,"AZ, CA, CO, NV, NM and WY",52 measure-ment stations,15 minutes,Measurements,W/m2,GHI: +/-5%; DNI: +/-8%,Public,http://rredc.nrel.gov/solar/pubs/wa/wa_index.html,None,
SEMRTS,Solar,Time Series,National Renewable Energy Laboratory,1979 - 1983,"AL, GA, NY and TX",4 measure-ment stations,1-minute,Measurement,W/m2,"GHI å±7%, DNI å±3%, DHIå±15% + 5 W/m2",Public,http://rredc.nrel.gov/solar/old_data/semrts,,
ARM,Solar,Time-Series,U.S. Department of Energy,1992-present,Point Locations in Kansas & Oklahoma,"23 measurement stations in 143,000 sq km area",20 second samples and 1 minute averages ,Measurements,W/m2,"Varies by radiation type, (5% - 15%)",Public,http://www.archive.arm.gov,Ongoing,"Atmospheric Radiation Measurements (ARM) Program provides  broadband and spectral solar radiation measurements of radiative, optical, microphysicl and chemical properties; atmospheric carbon; atmospheric state at various heights; cloud, radiometric and surface properties."
Texas Renewable Energy Resource Assessment,"Multiple:  Biomass, Geothermal, Hydro, Solar & Wind",Report,Southern Methodist University,2008,Texas,Not stated,Not stated,Modeled,Varies,,Public,http://www.seco.cpa.state.tx.us/publications/renewenergy/geothermalenergy.php,Unknown,"Renewable resource maps and potential for solar, wind, biomass, hydro and geothermal compiled from various sources for the state of Texas."
CONFRRM,Multiple:  Solar & Wind,Tabular,U.S. Department of Energy,1996-present,Point Locations,13 point locations,1-minute,Measurements,W/m2,Varies with measured parameter and site (+/-5% to +/-15%),Public,http://rredc.nrel.gov/solar/new_data/confrrm,Ongoing,Cooperative Network for Renewable Resource Measurements conducts long-term solar radiation and wind measurements at across the United States.
Oklahoma Mesonet,Multiple:  Solar & Wind,Time-Series,Oklahoma Climatalogical Survey,1993-present,Oklahoma,110 point locations; mesoscale (0.7 to 220 km),15-minute,Measurements,"W/m2 (solar)m/s (wind)",Varies with measured parameter,Public,http://okmesonet.ocs.ou.edu/,Ongoing,The mesoscale network was designed and implemented by scientists at the University of Oklahoma (OU) and at Oklahoma State University (OSU) to continuously measure weather events.
SRRL,Multiple:  Solar & Wind,Time-Series,National Renewable Energy Laboratory,1981 - Present,Colorado,Single point,"1 - minute5 - minute",Measurements,"W/m2 (solar), m/s (wind) at various heights",Varies with measured parameter and site (+/-5% to +/-15%),Public,http://www.nrel.gov/midc,1-minute,The National Renweable Energy Laboratory's (NREL) Solar Radiation Research Lab (SRRL) has one of the longest records of continuous solar irradiance measurements in the U.S. providing data from 1981 to the present.
ISH,Multiple:  Solar & Wind,Tabular,National Oceanic and Atmospheric Administration/ National Climatic Data Center,1930 to present (varies by station),Global,Point locations,Hourly,Measurements,Various,Varies by station,Commercial,http://www.ncdc.noaa.gov/oa/ncdc.html,Ongoing,"Integrated Surface Hourly (ISH) database contains the official climatological surface observations available from the National Climatic Data Center (NCDC).  The database is composed of worldwide surface weather observations from about 10,000 currently active stations, collected and stored from sources such as the US Air Force‰Ûªs Automated Weather Network (AWN) and the WMO‰Ûªs Global Telecommunications System (GTS).  The database includes data originating from various ‰ÛÏcodes‰Û such as synoptic, airways, METAR (Meteorological Routine Weather Report), and SMARS (Supplementary Marine Reporting Station), as well as observations from automatic weather stations.  There are 28 mandatory data fields, including wind direction, wind speed, total sky cover, cloud cover fields, temperature, and pressure."
NCEP Reanalysis ,Multiple:  Solar & Wind,GIS,National Oceanic and Atmospheric Administration/ National Climatic Data Center,1948 - 2009,Global,2.5 degrees,6 hours,Statistical Model,W/m2,,Public,http://dss.ucar.edu/datasets/ds090.0,Monthly,
Western Wind and Solar Integration Study,Multiple:  Solar & Wind,Report & GIS,3Tier,2004 - 2006,Western Interconnect of the Continental United States,1 arc-minute (~2 km2),10 minute,Numerical model,Wind farm output at 100 m height,,Public,http://www.nrel.gov/wind/systemsintegration/,Unknown,Modeled using the WRF mesoscale model.
An Assessment of the Available Windy Land Area and Wind Energy Potential in the Contiguous United States,Wind,Report & Tabular,Pacific Northwest National Laboratory,1991,Contiguous United States,,Annual,,MW of average power,Not stated,Public,http://rredc.nrel.gov/wind/pubs/atlas,TBD,Estimate of developable windy land areas in the 48 contiguous states developed by the Pacific Northwest Natlonal Laboratory (PNNL).
DOE Candiate Site,Wind,Tabular,Pacific Northwest National Laboratory,"Varies by site, 1976-1982",National,Point locations,2 minute,Measurements,"Wind speed at 9.1m, 30m, and 45.7m heights",,Public,http://rredc.nrel.gov/wind/pubs/atlas/appendix_E.html,TBD,Average wind speed and power density (annual and seasonal) derived from 2-minute source data
The Spatial and Temporal Distribution of U.S. Winds and Windpower at 80 m Derived from Measurements,Wind,Report,Stanford University,"December, 2002",National,,,Statistical Model,Wind Speed (m/s) at 80 m height,,Public,http://www.stanford.edu/group/efmh/winds/us_winds.html,TBD,Corrections to the paper: http://www.stanford.edu/group/efmh/winds/2004JD005099.pdf
U.S. Wind Energy Resource Atlas,Wind,"Atlas, Maps & GIS",Pacific Northwest National Laboratory and National Renewable Energy Laboratory,1987,National,Generally 1/4 degree latitude by 1/3 degree longitude,Annual and Seasonal,Empirical estimate,Wind Power Class at 50 m height,See Atlas,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,
US and State 80 m Wind Resource Maps and Potential,Wind,Maps & Tabular,National Renewable Energy Laboratory and AWS Truepower ,"February, 2010",Continental United States,200 m,Annual,Numerical model,Gross Capacity Factor (%),,Public,http://www.windpoweringamerica.gov/wind_maps.asp,Unknown,"Wind potential calculated by NREL using commercial data licensed from AWS Truepower representing annual gross capacity factor at 80m and 100m height above ground.  Accompanying wind resource maps depict wind speed at 80m and 100m height above ground, but with a spatial resolution of 2.5 km."
Assessment of Offshore Wind Energy Resources for the United States,Wind,"Maps, Report & GIS",National Renewable Energy Laboratory,"June, 2010",Continental US and Hawaii,State,Annual,GIS Analysis,MW,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp,Unknown,Wind resource potential based on wind speed at 90 m height above water surface.
Wind Reference Time Series,Wind,Report & GIS,3Tier,1980 - present,Global,15 km,1 hour,Numerical Model,m/s,,Commercial,http://www.3tier.com,Ongoing,"Time series, climate variability analysis, site resource assessment"
FirstLookå¨,Wind,Report & GIS,3Tier,10 yrs (specific yrs not listed),Global,5 km,1 hour,Numerical Model,m/s,Bias: -0.15 m/s relative to NCEP ADP; RMSE is 0.86 m/2,Commercial,http://www.3tier.com,Ongoing,"Time series, climate variability analysis, site resource assessment"
AWS Truepower WindNavigator,Wind,Report & GIS,AWS Truepower,Current,Continental United States,2 km,Wind speed at 80 m height,Numerical Model,m/s,0.7 m/s,Public,https://www.windnavigator.com/cms/,Ongoing,"The 2 km resolution map information is free, and they also offer a 200 m spatial resolution commercial dataset."
Eastern Wind Integration and Transmission Study,Wind,Report & GIS,AWS Truepower,2004 - 2006,Eastern Interconnect of the Continental United States,Aggregated 200 m cell areas,10 minute,Numerical model,Wind farm output at 80m and 100m height,,Public,http://www.nrel.gov/wind/systemsintegration/,Unknown,"Modeled using the MASS mesoscale model for 1,326 aggregated wind farm points.  Minimum aggregation is 5 km2; maximum is 160 km2."
Mid-Atlantic Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"January, 2003","Mid-Atlantic Region (DE, MD, PA, WV, VA, NC, NJ)",200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Alaska Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"March, 2006",Central and Eastern Alaska,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Arizona Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"November, 2003",Arizona,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Arkansas Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2005",Arkansas,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
California Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,2002,California,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Colorado Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,Dec-03,Colorado,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Connecticut Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"March, 2003",Connecticut,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Delaware Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"January, 2003",Delaware,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Georgia Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"November, 2004",Georgia,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Hawaii Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"November, 2004",Hawaii,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Idaho Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"April, 2002",Idaho,400 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Illinois Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory ,"June, 2001",Illinois,1000 m (raster cell size),Annual,Empirical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by the National Renewable Energy Laboratory (NREL).
Indiana Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"March, 2004",Indiana,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Kansas Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"September, 2008",Kansas,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Kentucky Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"September, 2008",Kansas,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Maine Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"March, 2003",Maine,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Maryland Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"January, 2003",Maryland,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Massachusetts Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"March, 2003",Massachusetts,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Michigan Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"November, 2005",Michigan,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Missouri Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"November, 2004",Missouri,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Montana Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"April, 2002",Montana,400 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Nebraska Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"April, 2005",Nebraska,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Nevada Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"November, 2003",Nevada,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
New Hampshire Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"March, 2003",New Hampshire,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
New Mexico Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"November, 2003",New Mexico,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
New Jersey Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"January, 2003",New Jersey,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
North Carolina Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"January, 2003",North Carolina,200 m (raster cell size),Annual,Emperical model,Wind Power Class at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
North Dakota Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory,"January, 2000",North Dakota,1000 m (raster cell size),Annual,Numerical and empirical model,Wind Power Class at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by the National Renewable Energy Laboratory (NREL).
Ohio Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"May, 2004",Ohio,200 m (raster cell size),Annual,Numerical model,Wind Power Class at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Oklahoma Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"November, 2008",Oklahoma,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Oregon Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"April, 2002",Oregon,400 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Pennsylvania Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"January, 2003",Pennsylvania,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Rhode Island Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"March, 2003",Rhode Island,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
South Dakota Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory,"January, 2000",South Dakota,1000 m (raster cell size),Annual,Numerical and empirical model,Wind Power Class at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by the National Renewable Energy Laboratory (NREL).
Tennessee Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"September, 2008",Kansas,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Utah Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"November, 2003",Utah,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Vermont Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"March, 2003",Vermont,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Virginia Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"January, 2003",Virginia,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Washington Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"April, 2002",Washington,400 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
West Virginia Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"January, 2003",West Virginia,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Wyoming Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"April, 2002",Wyoming,400 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Puerto Rico & the Virgin Islands,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"April, 2007",Puerto Rico & the Virgin Islands,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,+/- 20% of wind power density,Public,http://www.nrel.gov/gis/data_analysis.html,Unknown,Model estimates by AWS Truewind (AWST) validated by the National Renewable Energy Laboratory (NREL).
Iowa Wind Resource Estimates,Wind,Maps & GIS,Iowa Energy Center,1997,Iowa,,Annual and Monthly,Numerical model,Wind Speed (m/s) at 50 m height,,Public,http://www.nrel.gov/gis/data_analysis.html,None Planned,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).
Kansas Wind Resource Estimates,Wind,Maps & GIS,Kansas Corporation Commission's Energy Program,"July, 2003",Kansas,1000 m (raster cell size),Annual,Numerical model,Wind Power Class at 50 m height,,Public,http://www.kansasenergy.org/wind_resources.htm,Unknown,
Minnesota Wind Resource Estimates,Wind,Maps & GIS,Minnesota Department of Commerce,2006,Minnesota,437 m (raster cell size),Annual,Numerical model,"Wind Speed (m/s) at 30, 80 and 100 m height",,Public,http://www.state.mn.us/portal/mn/jsp/content.do?contentid=536887066&contenttype=EDITORIAL&agency=Commerce,TBD,
New York Wind Resource Estimates,Wind,Maps & GIS,AWS Truepower,"July, 2005",New York,1000 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) and Wind Speed (m/s) at 50 m height,,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,
Oklahoma Wind Resource Estimates,Wind,Maps & GIS,Oklahoma State University,"August, 2002",Oklahoma,60 m (raster cell size),Annual,Statistical model,Wind Power Density (Wm-2) at 50 m height,,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,
South Carolina Wind Resource Estimates,Wind,Map,AWS Truepower,"June, 2005",South Carolina,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) and Wind Speed (m/s) at 50 m height,,Public,http://www.awsTruepower.com/inner/windmaps/SouthCarolina.htm,TBD,
Wisconsin Wind Resource Estimates,Wind,Maps & GIS,AWS Truepower,"July, 2007",Wisconsin,200 m (raster cell size),Annual,Numerical model,Wind Power Density (Wm-2) at 50 m height,,Public,http://www.nrel.gov/gis/data_analysis.html,TBD,Revised estimates by AWS Truepower (AWST)
Texas Wind Resource Estimates,Wind,Maps & GIS,Alternative Energy Institute,2004,Texas,~1000 m (raster cell size),Annual,Emperical model,Wind Power Class at 50 m height,,Public,http://www.windenergy.org/,TBD,
California Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",California Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,"Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset created for ""Assessment of Offshore Wind Energy Resource for the United States"", NREL 2010."
Connecticut Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Connecticut Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
